"route","device","before_JS_bytes","after_JS_bytes","before_JS_gzip_bytes","after_JS_gzip_bytes","before_CSS_bytes","after_CSS_bytes","before_API_requests","after_API_requests","before_image_bytes","after_image_bytes","before_overflow","after_overflow","before_broken_images","after_broken_images","after_page_errors"
"/terms","desktop","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/terms","mobile","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/support","desktop","507100","491534","152141","148567","236914","234982","2","2","17452","17452","false","false","0","0","0"
"/support","mobile","507100","491534","152141","148567","236914","234982","2","2","17452","17452","false","false","0","0","0"
"/organizations","desktop","495052","479491","146855","143281","187955","186023","3","3","17452","17452","false","false","0","0","0"
"/organizations","mobile","495052","479491","146855","143281","187955","186023","3","3","17452","17452","false","false","0","0","0"
"/organizations/:organizationSlug","desktop","495052","479491","146855","143281","187955","186023","3","3","17452","17452","false","false","0","0","0"
"/organizations/:organizationSlug","mobile","495052","479491","146855","143281","187955","186023","3","3","17452","17452","false","false","0","0","0"
"/records","desktop","495052","479491","146855","143281","187955","186023","2","2","17452","17452","false","false","0","0","0"
"/records","mobile","495052","479491","146855","143281","187955","186023","2","2","17452","17452","false","false","0","0","0"
"/records/:recordId","desktop","495052","479491","146855","143281","187955","186023","2","2","17452","17452","false","false","0","0","0"
"/records/:recordId","mobile","495052","479491","146855","143281","187955","186023","2","2","17452","17452","false","false","0","0","0"
"/teams","desktop","552327","542810","166647","167466","298345","296413","13","12","156865","156865","false","false","0","0","0"
"/teams","mobile","552327","542810","166647","167466","298345","296413","13","12","41252","41252","false","false","0","0","0"
"/teams/compare","desktop","552327","542810","166647","167466","298345","296413","3","3","17452","17452","false","false","0","0","0"
"/teams/compare","mobile","552327","542810","166647","167466","298345","296413","3","3","17452","17452","false","false","0","0","0"
"/teams/:teamSlug/share-card","desktop","537476","522384","163695","160311","208969","207037","4","4","20369","20369","false","false","0","0","0"
"/teams/:teamSlug/share-card","mobile","537476","522384","163695","160311","208969","207037","4","4","20369","20369","false","false","0","0","0"
"/teams/:teamSlug","desktop","552327","542810","166647","167466","298345","296413","5","5","141506","141506","false","false","1","1","0"
"/teams/:teamSlug","mobile","552327","542810","166647","167466","298345","296413","5","5","42832","42832","false","false","1","1","0"
"/matches","desktop","501208","485647","149730","146161","270325","268393","3","2","17452","17452","false","false","0","0","0"
"/matches","mobile","501208","485647","149730","146161","270325","268393","3","2","17452","17452","false","false","0","0","0"
"/matches/:matchId","desktop","495052","479491","146855","143281","187955","186023","2","2","17452","17452","false","false","0","0","0"
"/matches/:matchId","mobile","495052","479491","146855","143281","187955","186023","2","2","17452","17452","false","false","0","0","0"
"/search","desktop","521022","483134","154604","145097","235215","233283","3","3","17452","17452","false","false","0","0","0"
"/search","mobile","521022","483134","154604","145097","235215","233283","3","3","17452","17452","false","false","0","0","0"
"/following","desktop","521022","483134","154604","145097","235215","233283","3","3","17452","17452","false","false","0","0","0"
"/following","mobile","521022","483134","154604","145097","235215","233283","3","3","17452","17452","false","false","0","0","0"
